"nct_id","pmid","reference_type"
"NCT00145119",24713455,"one-to-one"
"NCT00145119",24176441,"one-to-one"
"NCT00145119",21884874,"one-to-one"
"NCT00145119",21093611,"one-to-one"
"NCT00145119",20837897,"one-to-one"
"NCT00145119",20019013,"one-to-one"
"NCT00145119",19155249,"one-to-one"
"NCT00140491",18207164,"one-to-one"
"NCT00143793",26072112,"one-to-one"
"NCT00143793",24146089,"one-to-one"
"NCT00143793",23851388,"one-to-one"
"NCT00149591",25135364,"one-to-one"
"NCT00149591",22214287,"one-to-one"
"NCT00146900",27135249,"one-to-one"
"NCT00146900",21969418,"one-to-one"
"NCT00148343",25802966,"one-to-one"
"NCT00148343",23399456,"one-to-one"
"NCT00146133",16636211,"one-to-one"
"NCT00146432",17558345,"one-to-one"
"NCT00143481",19601704,"one-to-one"
"NCT00143481",18685795,"one-to-one"
"NCT00146471",21105289,"one-to-one"
"NCT00142792",27225977,"one-to-one"
"NCT00141778",25468655,"one-to-one"
"NCT00141778",22824930,"one-to-one"
"NCT00141778",22626819,"one-to-one"
"NCT00141778",18824641,"one-to-one"
"NCT00148889",26074391,"one-to-one"
"NCT00148889",25127231,"one-to-one"
"NCT00149669",25134047,"one-to-one"
"NCT00143221",18597830,"one-to-one"
"NCT00143221",17887993,"one-to-one"
"NCT00143221",17296414,"one-to-one"
"NCT00144872",18778916,"one-to-one"
"NCT00143377",19032133,"one-to-one"
"NCT00146107",30013511,"one-to-one"
"NCT00146107",28951766,"one-to-one"
"NCT00146107",24787497,"one-to-one"
"NCT00146107",21786319,"one-to-one"
"NCT00146107",21449785,"one-to-one"
"NCT00145340",27529295,"one-to-one"
"NCT00145340",23211475,"one-to-one"
"NCT00145340",22999793,"one-to-one"
"NCT00145340",21209881,"one-to-one"
"NCT00145340",18544618,"one-to-one"
"NCT00143598",25183442,"one-to-one"
"NCT00143598",24315521,"one-to-one"
"NCT00143598",17711595,"one-to-one"
"NCT00142259",23123071,"one-to-one"
"NCT00142259",17093249,"one-to-one"
"NCT00147654",17105794,"one-to-one"
"NCT00140426",21871373,"one-to-one"
"NCT00147446",23680407,"one-to-one"
"NCT00147446",23197840,"one-to-one"
"NCT00147446",22786596,"one-to-one"
"NCT00148278",17720019,"one-to-one"
"NCT00149695",18779274,"one-to-one"
"NCT00144339",30290801,"one-to-one"
"NCT00144339",27141828,"one-to-one"
"NCT00144339",25326750,"one-to-one"
"NCT00144339",25175805,"one-to-one"
"NCT00144339",23714653,"one-to-one"
"NCT00144339",22432932,"one-to-one"
"NCT00144339",21955733,"one-to-one"
"NCT00144339",20418083,"one-to-one"
"NCT00144339",20185426,"one-to-one"
"NCT00144339",19716598,"one-to-one"
"NCT00144339",18836213,"one-to-one"
"NCT00143156",30521533,"one-to-one"
"NCT00143156",30206821,"one-to-one"
"NCT00143156",30084288,"one-to-one"
"NCT00143156",27611736,"one-to-one"
"NCT00149786",25440306,"one-to-one"
"NCT00149786",20921118,"one-to-one"
"NCT00144209",22101745,"one-to-one"
"NCT00144209",21060282,"one-to-one"
"NCT00144911",23613569,"one-to-one"
"NCT00145730",19455501,"one-to-one"
"NCT00145730",16885182,"one-to-one"
"NCT00147316",21737309,"one-to-one"
"NCT00145015",20032491,"one-to-one"
"NCT00145015",19553301,"one-to-one"
"NCT00148954",21978966,"one-to-one"
"NCT00148954",16836672,"one-to-one"
"NCT00149344",25255113,"one-to-one"
"NCT00149110",23840645,"one-to-one"
"NCT00149110",23059149,"one-to-one"
"NCT00146302",30239767,"one-to-one"
"NCT00146302",29216358,"one-to-one"
"NCT00146302",26416147,"one-to-one"
"NCT00146302",22189537,"one-to-one"
"NCT00146770",19117887,"one-to-one"
"NCT00141453",24013685,"one-to-one"
"NCT00141453",21993710,"one-to-one"
"NCT00143091",18413705,"one-to-one"
"NCT00144950",18492739,"one-to-one"
"NCT00148265",20019369,"one-to-one"
"NCT00144378",21742485,"one-to-one"
"NCT03467646",29943058,"one-to-one"
"NCT03464877",29606114,"one-to-one"
"NCT03469687",30064453,"one-to-one"
"NCT02614729",29955692,"one-to-one"
"NCT02614729",29070709,"one-to-one"
"NCT02611401",29250012,"one-to-one"
"NCT02611401",26757728,"one-to-one"
"NCT02617641",28450272,"one-to-one"
"NCT02618278",30056385,"one-to-one"
"NCT02618278",28259854,"one-to-one"
"NCT02614625",27409470,"one-to-one"
"NCT02616471",27557654,"one-to-one"
"NCT02618070",29924294,"one-to-one"
"NCT02618720",29654027,"one-to-one"
"NCT02614040",29485926,"one-to-one"
"NCT02614040",28407811,"one-to-one"
"NCT02619500",29406835,"one-to-one"
"NCT02617875",28126019,"one-to-one"
"NCT02616523",30209962,"one-to-one"
"NCT02610205",27004552,"one-to-one"
"NCT02615158",28385953,"one-to-one"
"NCT02618421",30142751,"one-to-one"
"NCT02618421",29796775,"one-to-one"
"NCT02618421",29655606,"one-to-one"
"NCT02618421",29162085,"one-to-one"
"NCT02618421",28687936,"one-to-one"
"NCT02616549",27898207,"one-to-one"
"NCT02611869",30028029,"one-to-one"
"NCT02612415",29866165,"one-to-one"
